ID,City,Assault,Robbery,Homicide,Burglary,Auto Theft,Larceny,Population
1,AGOURA HILLS,17.9,31.2,0,83.8,24.4,54.2,20970
2,ALHAMBRA,43.6,93.6,27.8,75.9,113.7,85.9,86175
3,ARCADIA,24,57.6,40.8,115.4,50.6,79.6,58694
4,ARTESIA,143.8,192.6,0,124.9,303.5,79.6,16988
5,AZUSA,103.6,108.1,96.8,100.6,184.2,83.1,49431
6,BALDWIN PARK,113.3,108.3,30.9,67.2,198.3,58.7,77538
7,BELL,171.6,209.7,65.8,114.3,172.3,63.8,36395
8,BELL GARDENS,86.6,128.1,0,44.9,319.9,47.3,43411
9,BELLFLOWER,118.9,210.8,30.4,123.2,329,54.4,78635
10,BEVERLY HILLS,65.7,124.4,68.3,143.1,95.4,139,35054
11,BURBANK,43.5,51.5,22.6,60.1,97.8,105.7,105865
12,CALABASAS,1.9,40,0,49.9,26.5,43,24505
13,CARSON,148.9,133.9,178.8,107.3,195.8,71.7,93677
14,CERRITOS,35.5,99.8,0,151,204.3,138.1,50238
15,CLAREMONT,46.5,45,65.9,146.9,79.3,97.2,36331
16,COMMERCE,189.5,232.4,364.4,163.2,1233.8,318.3,13137
17,COMPTON,289,365.2,313.9,107.3,359.4,60.6,99125
18,COVINA,62.9,73,48.5,103.5,130,80,49300
19,CUDAHY,94.3,98.3,98,42.2,156,38,24410
20,CULVER CITY,87.1,213.2,0,115,124.6,209.9,39890
21,DIAMOND BAR,20.6,53.5,41.9,105.1,78.9,39.2,57085
22,DOWNEY,54,164.4,146,96,320.5,72.4,114754
23,DUARTE,105.9,93.5,0,65.7,138.3,55.1,22171
24,EL MONTE,91.2,132.9,163.1,84.2,269.1,44.2,117376
25,EL SEGUNDO,46.5,139.8,139.4,183.6,129.9,130.1,17164
26,GARDENA,94.3,267.3,236.2,112.5,274.3,72.5,60782
27,GLENDALE,22.8,40.4,59.2,56.2,81,68.1,202298
28,GLENDORA,21.8,52.7,0,75.8,53.8,110.7,51753
29,HAWAIIAN GARDENS,186.2,178.9,327.2,96.7,193.7,68.4,14629
30,HAWTHORNE,181.2,303.4,162.4,116.1,281.1,87,88410
31,HERMOSA BEACH,58.8,65.5,0,129.8,95.3,110.9,19986
32,HUNTINGTON PARK,136.2,323.5,40.1,63.2,619.6,92.7,59668
33,INGLEWOOD,152.9,347.2,149,99.7,282.1,65.5,112450
34,LA CANADA FLINTRIDGE,13.6,31.5,115.3,109.4,26.8,42.7,20763
35,LA HABRA HEIGHTS,8.5,0,0,77.9,25.3,30.5,5500
36,LA MIRADA,40.7,48.3,0,68.2,115,60.8,49685
37,LA PUENTE,88.3,93.2,0,47.6,144,33.9,40958
38,LA VERNE,30.3,60.2,0,123,68.4,111.4,32595
39,LAKEWOOD,63.5,123.6,87.5,98.8,172.7,96.8,82047
40,LANCASTER,171,219.3,103.4,177.5,141.5,64.1,162095
41,LAWNDALE,174.7,201.2,0,72.7,143.7,44.3,33605
42,LOMITA,98.9,88.7,114.5,82.1,97.8,69.5,20893
43,LONG BEACH,147.8,241.3,180.9,139.2,275.9,92.6,476318
44,LOS ANGELES,162.5,246.3,170.3,87.4,189.3,80.9,3962726
45,LYNWOOD,157,224.4,165.3,86.8,411.9,35,72398
46,MALIBU,36,58.6,0,138.2,74.8,102.5,13033
47,MANHATTAN BEACH,33.9,108.9,0,122.4,56.7,101.3,36065
48,MAYWOOD,78.6,69.9,170.5,29.8,238.3,32.7,28070
49,MONROVIA,27.5,55.1,127.2,58.7,117.3,70.2,37618
50,MONTEBELLO,55.5,123.8,111.7,194.1,363.4,48.7,64280
51,MONTEREY PARK,30.4,100.7,0,131.2,182.8,61.8,61750
52,NORWALK,99.2,132.9,200.4,78.8,185,53,107470
53,PALMDALE,155.4,171.5,105,107.8,132.4,56.8,159613
54,PALOS VERDES ESTATES,6.8,31.7,0,127.9,30.4,29.8,13739
55,PARAMOUNT,127.3,236.8,42.9,94.6,408.4,89.9,55727
56,PASADENA,78.2,100.7,67.5,125.5,105.8,93.9,141815
57,PICO RIVERA,76.4,125,148.3,87.3,277,65.2,64551
58,POMONA,127.5,205.5,155,96.1,377.8,86.8,154410
59,RANCHO PALOS VERDES,26.2,30.4,55.7,103.2,42.1,37.2,42993
60,REDONDO BEACH,64.5,111.4,69.9,108.9,111.9,95.2,68492
61,ROLLING HILLS ESTATES,28.3,52.6,0,124,28,35.4,8296
62,ROSEMEAD,60.4,144.1,86.7,104.4,269.9,62.3,55231
63,SAN DIMAS,59.1,90.5,68.5,71.7,83.7,74.8,34955
